Id,SalePrice
1461,129676.2283038155
1462,150121.3692235487
1463,165707.74016286022
1464,176890.14138661642
1465,201828.59098753615
1466,181995.48776392065
1467,174348.03566923618
1468,173331.74997680858
1469,191121.0549274237
1470,119656.13213623711
1471,216529.59299715052
1472,96539.3637881725
1473,102851.50281058064
1474,149042.98252934968
1475,155577.1227351848
1476,249816.60471432272
1477,243375.45697646536
1478,263238.0859955141
1479,276262.7116406072
1480,221218.29677776212
1481,274969.56479431456
1482,203793.33276871694
1483,176458.18855979756
1484,185623.14335654554
1485,177508.98539834673
1486,186083.16547651065
1487,244354.77567189472
1488,243015.626217023
1489,219688.83758134494
1490,193226.90240325363
1491,188298.05012092934
1492,94408.96246073145
1493,182591.61069702
1494,268314.7066569662
1495,262872.8589677935
1496,227122.43388595385
1497,188910.4234358261
1498,154809.4153816523
1499,151727.9102486118
1500,167732.75789002932
1501,167298.8522335149
1502,163591.070211481
1503,234995.1793713291
1504,220689.92269600622
1505,233450.32234240757
1506,182699.03294664092
1507,214683.9333964045
1508,177860.2753811462
1509,153958.5274647898
1510,149229.28351992395
1511,148232.65370870638
1512,160461.8868332425
1513,149779.97064373537
1514,154553.85688539123
1515,168472.51332372386
1516,155144.98083752944
1517,153538.8190043921
1518,126684.7261360373
1519,220982.61666292787
1520,137758.2258530438
1521,142376.38785548494
1522,159308.36273144698
1523,110783.2552025628
1524,120763.36403171696
1525,128238.63285287342
1526,126811.48521400179
1527,109378.57622399289
1528,123592.21800160609
1529,140365.64250733814
1530,169535.0024520659
1531,126636.15092229347
1532,105380.88641372889
1533,131667.33975092866
1534,114114.27927511276
1535,138492.19811157265
1536,115901.43485919178
1537,101329.62575736528
1538,164493.96277478122
1539,215934.1695913168
1540,116015.711823088
1541,137559.17532454836
1542,129902.95154534897
1543,188211.56029573292
1544,74305.95578974274
1545,97837.82172451225
1546,127535.9126099569
1547,126689.35510938331
1548,116040.67482532834
1549,116978.47168770303
1550,133569.51803145435
1551,120861.41921112144
1552,132659.3438785472
1553,131365.74698241337
1554,109981.52792481116
1555,167333.24550140713
1556,95860.18778577438
1557,117867.90234535257
1558,93173.44149189699
1559,110614.78408037093
1560,149867.18418929147
1561,142168.49879523553
1562,124342.83870633063
1563,122793.3994922562
1564,156202.50252581565
1565,146824.28895922742
1566,226333.34840836868
1567,84489.59190381573
1568,206252.22027495826
1569,144428.55401476962
1570,150435.96824417237
1571,127231.70331352213
1572,146544.74554361752
1573,232965.18319940413
1574,127935.47203512886
1575,240033.611722926
1576,202479.78694432345
1577,201762.2035454474
1578,152582.40834411184
1579,144123.47005636521
1580,187870.5411520128
1581,131695.704511578
1582,127516.65346431435
1583,254974.6795191374
1584,242495.36238918267
1585,139608.27298234176
1586,78588.81872631074
1587,110579.13590760126
1588,152037.7520949806
1589,91155.37142896626
1590,133251.90727564492
1591,102974.93766173064
1592,134533.75936781982
1593,128386.15968509225
1594,106086.48941657148
1595,127622.61497477742
1596,220526.63034728062
1597,159237.44509611186
1598,182364.3876098133
1599,208613.44437929176
